Assembly,Type,Part,Quantity,Source,Unit Price,Total Price,Alt Source,Note
umbilical-assembly,buy,"CAN Bus Cable 4mm diameter (~23.5in, 600mm)",1,,4,4,,"Cut from a 6ft 100W shielded USB-C cable (2 CAN cables per cable); exact cable no longer sold. Verify replacement cable rating meets your toolhead electronics requirements; alternatives: 240W USB-C cable, chainflex cable"
umbilical-assembly,buy,"4mmOD x 3mm ID PTFE Guide Tube (~26in, 660mm)",1,https://s.click.aliexpress.com/e/_c3qePSft,1.27,1.27,https://amzn.to/4gMqQIz,$1.93/meter
umbilical-assembly,buy,GX12-4 Plug,1,https://s.click.aliexpress.com/e/_c2vhMl6x,,,https://amzn.to/4gaFnOZ,Priced with the mating GX12-4 Jack see Umbilical Backplate BOM
umbilical-assembly,buy,2x2 Microfit Connector,1,https://amzn.to/4ifp2tK,,,,Comes with the EBB36 toolboard not purchased separately
umbilical-assembly,buy,.3mmx3mm flat coil spring (70mm),1,https://amzn.to/4wyCufH,1.67,13.39,https://s.click.aliexpress.com/e/_c2xB7uAf,"Cut from a 0.3x3x34x1900mm roll ($11.00 total, ~$1.67/umbilical), one roll covers the whole build (8 umbilicals)"
umbilical-assembly,buy,.3mmx3mm flat coil spring (100mm),1,https://amzn.to/4wyCufH,,,https://s.click.aliexpress.com/e/_c2xB7uAf,Cut from the same roll cost counted on the 70mm line
dragon-burner-toolhead,reference,Dragon Burner Toolhead (chirpy2605),1,https://github.com/chirpy2605/voron-user-mods/tree/main/Universal/DragonBurner,,,,Upstream project - base toolhead body printed parts and hardware; external assembly hardware covered by overall misc hardware estimate. see main README
dragon-burner-toolhead,reference,StealthChanger DragonBurner Backplate,1,https://stealthchanger.com/hardware/guides/backplates/4_dragonburner/#printed-bom,,,,Upstream project - printed backplate mounting to the StealthChanger toolchanger
dragon-burner-toolhead,buy,4x12mm M3 Dowel Pin,3,https://s.click.aliexpress.com/e/_c3iT67xV,0.75,2.25,https://amzn.to/4gjgK1h,Sold in packs of 10; secures the StealthChanger backplate
dragon-burner-toolhead,buy,TZ V6 2.0 Hotend,1,https://s.click.aliexpress.com/e/_c3Mq5ohd,17.87,17.87,https://amzn.to/4wB6uYB,
dragon-burner-toolhead,buy,Moons Nema14 Motor,1,https://s.click.aliexpress.com/e/_c3PY8IAP,19.84,19.84,https://amzn.to/4wGdByK,
dragon-burner-toolhead,buy,BIGTREETECH EBB36 CANBus Toolhead Board V1.2,1,https://s.click.aliexpress.com/e/_c3MC48Xt,15.39,15.39,,
dragon-burner-toolhead,buy,Voron Tap Probe Kit,1,https://s.click.aliexpress.com/e/_c3SsvTCX,9.19,9.19,https://amzn.to/4goA2T5,
dragon-burner-toolhead,buy,Gdstime 3010 24V Sleeve 2P2.54 Fan,1,https://s.click.aliexpress.com/e/_c3NtUlNp,4.08,4.08,https://amzn.to/4wLNCWN,
